"uniqueid","highest_severity_rank","max_charge"
11718769,6,7
11718977,5,3
11718983,5,4
11718990,5,1
11718996,5,1
11718998,4,4
11719005,5,1
11719007,4,3
11719019,3,2
11719039,6,2
11719056,6,2
11719058,4,3
11719068,5,1
11719070,6,4
11719115,4,1
11719159,4,2
11719182,5,3
11719195,5,1
11719215,5,1
11719222,6,1
11719254,5,5
11719256,5,3
11719265,5,3
11719272,5,2
11719300,5,5
11719309,5,3
11719321,7,7
11719327,6,1
11719342,4,1
11719360,5,2
11719757,4,1
11719880,5,5
11719913,5,5
11719927,4,3
11719933,4,2
11719951,5,6
11719967,5,2
11719970,6,12
11719975,6,2
11719982,4,2
11719994,4,1
11719997,4,2
11720035,5,2
11720058,6,1
11720074,5,4
11720079,4,2
11720085,5,2
11720107,5,9
11720113,5,2
11720118,5,8
11720119,6,3
11720133,5,2
11720139,5,1
11720146,5,2
11720148,4,3
11720151,5,1
11720155,5,2
11720170,5,2
11720175,5,4
11720202,5,2
11720207,4,2
11720212,5,1
11720224,5,1
11720235,6,1
11720245,5,3
11720264,5,2
11720265,6,1
11720277,5,3
11720282,5,1
11720289,5,1
11720294,5,2
11720300,4,1
11720303,4,2
11720305,5,3
11720322,5,1
11720347,7,4
11720388,4,4
11720487,4,4
11720500,5,2
11720501,5,1
11720506,5,4
11720541,6,3
11720555,5,2
11720569,5,4
11720577,5,2
11720633,5,1
11720656,5,1
11720663,5,1
11720735,7,7
11720742,5,1
11720743,4,2
11720755,5,3
11720756,6,1
11720777,6,1
11720788,5,4
11720789,6,3
11720790,6,2
11720797,5,3
11720799,6,4
11720817,5,8
11720821,4,3
11720823,2,1
11720827,4,1
11720847,6,7
11720851,5,1
11720853,5,11
11720861,4,7
11720863,6,2
11720945,4,3
11720950,5,6
11720953,5,3
11721000,6,5
11721001,5,3
11721003,5,5
11721004,5,1
11721013,5,2
11721014,6,2
11721025,4,3
11721041,5,2
11721054,5,3
11721059,7,1
11721073,5,1
11721077,5,4
11721086,5,6
11721088,5,1
11721092,6,2
11721110,7,6
11721219,6,3
11721751,5,3
11721777,5,7
11721784,5,4
11721797,5,1
11721809,5,6
11721814,5,2
11721826,4,2
11721841,4,1
11721850,5,1
11721855,5,2
11721867,5,3
11721868,5,4
11721874,5,1
11721882,4,1
11721888,4,2
11721910,4,2
11722027,5,3
11722042,4,2
11722049,4,3
11722057,5,2
11722068,5,3
11722078,5,1
11722083,4,1
11722089,5,6
11722106,4,1
11722117,7,4
11722142,5,1
11722158,6,8
11722170,5,4
11722173,5,2
11722194,6,12
11722231,5,3
11722255,4,2
11722277,5,5
11722279,4,1
11722282,6,3
11722284,4,1
11722321,4,2
11722327,5,10
11722564,4,4
11722597,5,3
11722630,4,4
11722633,5,3
11722634,5,2
11722644,6,6
11722654,4,1
11722661,5,1
11722662,5,3
11722671,5,1
11722704,4,5
11722712,5,2
11722713,5,3
11722761,3,3
11722771,5,2
11722774,4,1
11722782,5,2
11722783,5,1
11722788,5,2
11722789,5,2
11722806,4,1
11722841,5,1
11722846,4,2
11722862,5,1
11722877,5,1
11722889,6,2
11722925,4,2
11722935,4,2
11722962,6,2
11722992,6,2
11723020,3,4
11723021,4,1
11723023,5,2
11723057,5,2
11723075,6,7
11723076,5,1
11723210,7,3
11723211,5,1
11723213,4,2
11723282,5,3
11723293,5,4
11723301,4,2
11723407,5,2
11723415,5,2
11723422,5,1
11723437,5,3
11723439,4,2
11723463,5,3
11723484,4,3
11723493,7,7
11723494,6,1
11723552,6,2
11723553,5,1
11723591,3,5
11723598,4,2
11723631,6,2
11723635,5,2
11723660,3,1
11723667,3,1
11723685,5,2
11723689,5,3
11723690,5,3
11723693,6,1
11723712,4,1
11723729,5,1
11723741,7,7
11723743,5,2
11723751,6,11
11723777,5,3
11723778,4,7
11723779,4,1
11723825,5,3
11724116,5,4
11724154,5,3
11724158,5,2
11724160,4,2
11724161,5,1
11724171,5,1
11724180,5,2
11724213,5,1
11724221,5,1
11724233,6,3
11724242,4,3
11724251,5,3
11724283,5,1
11724297,5,3
11724298,4,4
11724301,6,11
11724310,6,9
11724315,6,2
11724338,5,1
11724375,5,1
11724386,4,3
11724414,4,2
11724422,4,1
11724427,5,2
11724428,6,2
11724443,6,1
11724446,5,5
11724455,6,5
11724461,4,2
11724468,5,2
11724485,5,2
11724495,5,1
11724496,4,1
11724505,4,5
11724534,6,3
11724556,6,2
11724558,4,4
11724560,5,1
11724561,6,4
11724572,4,2
11724611,5,3
11724613,5,4
11724758,7,4
11724827,4,1
11724840,5,2
11724857,6,2
11724869,5,2
11724882,4,2
11724918,4,1
11724948,5,3
11724959,5,6
11724972,6,2
11724982,5,2
11724989,5,2
11724992,5,4
11725001,4,2
11725020,5,4
11725070,5,1
11725108,5,3
11725138,5,1
11725146,5,4
11725157,5,6
11725175,6,1
11725188,5,6
11725213,5,2
11725226,5,1
11725239,5,6
11725243,6,2
11725247,4,3
11725253,5,2
11725255,7,11
11725258,6,1
11725287,5,6
11725298,4,1
11725308,5,3
11727929,5,2
11728089,5,4
11728092,5,1
11728094,5,1
11728097,4,2
11728100,6,4
11728106,4,3
11728136,7,4
11728138,5,1
11728141,4,3
11728148,5,2
11728151,5,5
11728158,6,3
11728165,5,6
11728166,5,3
11728167,5,7
11728168,4,2
11728178,5,8
11728184,5,4
11728185,5,6
11728186,6,5
11728187,5,2
11728192,4,4
11728197,5,1
11728214,5,2
11728233,5,1
11728238,5,3
11728240,5,4
11728259,5,2
11728265,5,2
11728266,4,5
11728283,6,1
11728302,5,2
11728311,6,8
11728326,4,1
11728338,5,3
11728367,5,1
11728370,6,2
11728458,7,4
11728459,5,1
11728465,5,3
11728469,5,7
11728479,5,11
11728480,6,5
11728498,5,1
11728499,5,4
11728508,4,3
11728509,6,1
11728514,5,3
11728516,4,2
11728520,5,1
11728523,4,1
11728531,4,3
11728541,4,7
11728548,4,1
11728594,6,3
11728597,5,7
11728607,4,1
11728613,6,1
11728619,5,3
11728659,5,3
11728670,5,3
11728676,4,2
11728698,4,2
11729000,5,2
11729011,5,3
11729012,6,5
11729026,5,2
11729028,5,3
11729033,5,2
11729037,6,3
11729043,5,6
11729062,7,4
11729065,5,4
11729076,5,1
11729112,5,5
11729118,5,3
11729122,5,6
11729131,4,1
11729135,5,4
11729136,4,2
11729141,4,6
11729155,5,4
11729176,5,1
11729185,4,3
11729198,5,4
11729201,5,4
11729207,5,9
11729209,5,2
11729229,4,2
11729233,6,1
11729237,4,2
11729240,7,3
11729241,5,2
11729274,5,1
11729277,5,1
11729297,5,4
11729315,4,1
11729349,7,7
11729369,6,7
11729375,6,1
11729387,6,3
11729405,5,7
11729412,4,1
11729415,5,1
11729432,4,1
11729439,6,3
11729446,6,3
11729449,5,3
11729451,4,2
11729455,5,3
11729475,4,1
11729482,5,3
11729485,5,2
11729512,5,3
11729515,5,2
11729524,4,3
11729526,7,2
11729543,5,2
11729859,4,1
11729914,5,4
11729924,5,2
11729928,7,4
11729952,5,3
11729953,5,2
11729963,7,3
11729982,6,1
11729986,5,2
11729990,5,2
11729998,5,3
11730006,5,4
11730027,5,5
11730043,6,2
11730058,5,2
11730096,7,7
11730103,6,4
11730109,5,3
11730110,6,12
11730158,4,1
11730182,4,4
11730206,7,3
11730214,4,1
11730251,6,2
11730262,5,5
11730263,6,2
11730265,6,1
11730274,5,1
11730276,6,1
11730282,5,1
11730284,5,2
11730298,4,3
11730299,5,2
11730317,6,3
11730324,4,1
11730364,4,1
11730535,5,1
11730576,6,4
11730600,5,2
11730616,6,2
11730622,4,2
11730653,4,1
11730664,4,2
11730697,5,3
11730704,5,3
11730751,6,2
11730766,6,4
11730779,7,3
11730785,4,3
11730786,4,2
11730789,5,2
11730852,4,4
11730860,5,4
11730878,7,13
11730883,6,11
11730906,6,4
11730909,4,2
11730915,4,2
11730935,5,1
11730939,4,1
11730944,4,1
11730945,5,3
11730959,4,1
11730980,4,3
11730986,6,1
11730987,4,1
11730994,7,11
11731010,5,4
11731025,6,3
11731029,5,4
11731036,6,4
11731044,5,7
11731048,6,5
11731061,6,6
11731068,7,4
11731075,6,3
11731076,7,3
11731084,6,3
